ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7275132275132276,0.8323895492262838,0.7066666666666667,0.8112244897959183,0.7553444180522565,0.4566395904633534
Decision Tree,0.9761904761904762,0.9762558869701726,0.9794871794871794,0.9744897959183674,0.9769820971867008,0.9523382587236875
KNN,0.9126984126984127,0.9624915900426104,0.9095477386934674,0.923469387755102,0.9164556962025316,0.8251583613009599
Naive Bayes,0.708994708994709,0.7898351648351648,0.6822033898305084,0.8214285714285714,0.7453703703703703,0.4223266045518319
Random Forest,0.9788359788359788,0.9985422740524781,0.9747474747474747,0.9846938775510204,0.9796954314720813,0.9576509826629975
